variable,raw,code
q_approval_eu,19,approve
q_approval_eu,Approve,approve
q_approval_eu,Approvo,approve
q_approval_eu,Aprob,approve
q_approval_eu,Aprovo,approve
q_approval_eu,Apruebo,approve
q_approval_eu,Atbalstu,approve
q_approval_eu,Eens,approve
q_approval_eu,Egyetért,approve
q_approval_eu,Enig,approve
q_approval_eu,Godtar,approve
q_approval_eu,Hyväksyn,approve
q_approval_eu,J'approuve,approve
q_approval_eu,Je désapprouve,approve
q_approval_eu,Odobravam,approve
q_approval_eu,Pooldan,approve
q_approval_eu,Popieram,approve
q_approval_eu,Pritariu,approve
q_approval_eu,Schvaluji,approve
q_approval_eu,Slažem se,approve
q_approval_eu,Súhlasím,approve
q_approval_eu,Zufrieden,approve
q_approval_eu,Εγκρίνω,approve
q_approval_eu,Одобрявам,approve
q_approval_eu,Desaprovo,disapprove
q_approval_eu,Desapruebo,disapprove
q_approval_eu,Dezaprob,disapprove
q_approval_eu,Disapprove,disapprove
q_approval_eu,Disapprovo,disapprove
q_approval_eu,Ei poolda,disapprove
q_approval_eu,Förkastar,disapprove
q_approval_eu,Hylkään,disapprove
q_approval_eu,Je n'approuve ni ne désapprouve,disapprove
q_approval_eu,Ne odobravam,disapprove
q_approval_eu,Ne slažem se,disapprove
q_approval_eu,Neatbalstu,disapprove
q_approval_eu,Nem ért egyet,disapprove
q_approval_eu,Nepritariu,disapprove
q_approval_eu,Neschvaluji,disapprove
q_approval_eu,Nesúhlasím,disapprove
q_approval_eu,Nie popieram,disapprove
q_approval_eu,Non approvo né disapprovo,disapprove
q_approval_eu,Não aprovo nem desaprovo,disapprove
q_approval_eu,Oneens,disapprove
q_approval_eu,Uenig,disapprove
q_approval_eu,Unzufrieden,disapprove
q_approval_eu,Δεν εγκρίνω,disapprove
q_approval_eu,Не одобрявам,disapprove
q_approval_eu,"Ani popieram, ani nie popieram",neither
q_approval_eu,Ei poolda ega ole vastu,neither
q_approval_eu,Etkö hyväksyn etkä hylkään,neither
q_approval_eu,Hverken enig eller uenig,neither
q_approval_eu,"Nedz atbalstu, nedz neatbalstu",neither
q_approval_eu,"Nei pritariu, nei nepritariu",neither
q_approval_eu,Neither approve or disapprove,neither
q_approval_eu,Ni apruebo ni desapruebo,neither
q_approval_eu,Niti Odobravam niti ne odobravam,neither
q_approval_eu,Niti se slažem niti ne slažem,neither
q_approval_eu,"No eens, noch oneens",neither
q_approval_eu,Semleges álláspontot képvisel,neither
q_approval_eu,Varken godtar eller förkastar,neither
q_approval_eu,Weder zufrieden noch unzufrieden,neither
q_approval_eu,Îmi este indiferent,neither
q_approval_eu,Ούτε εγκρίνω ούτε δεν εγκρίνω,neither
q_approval_eu,"Нито одобрявам, нито не одобрявам",neither
q_approval_eu,Eher zufrieden,tend_approve
q_approval_eu,Forholdsvis enig,tend_approve
q_approval_eu,Godtar till viss del,tend_approve
q_approval_eu,Grotendeels eens,tend_approve
q_approval_eu,Grotendeels oneens,tend_approve
q_approval_eu,Hyväksyn jossain määrin,tend_approve
q_approval_eu,J'ai tendance à approuver,tend_approve
q_approval_eu,J'ai tendance à désapprouver,tend_approve
q_approval_eu,Jobbára egyetért,tend_approve
q_approval_eu,Pigem ei poolda,tend_approve
q_approval_eu,Pigem pooldan,tend_approve
q_approval_eu,Raczej popieram,tend_approve
q_approval_eu,Skôr súhlasím,tend_approve
q_approval_eu,Sliecos atbalstīt,tend_approve
q_approval_eu,Spíše schvaluji,tend_approve
q_approval_eu,Tend to approve,tend_approve
q_approval_eu,Tendo a aprovar,tend_approve
q_approval_eu,Tendo ad approvare,tend_approve
q_approval_eu,Tiendo a aprobar,tend_approve
q_approval_eu,Tind să aprob,tend_approve
q_approval_eu,Uglavnom se slažem,tend_approve
q_approval_eu,Vecinoma odobravam,tend_approve
q_approval_eu,Veikiau pritariu,tend_approve
q_approval_eu,Τείνω να εγκρίνω,tend_approve
q_approval_eu,Склонен/на към неободрение,tend_approve
q_approval_eu,Склонен/на към одобрение,tend_approve
q_approval_eu,Eher unzufrieden,tend_disapprove
q_approval_eu,Forholdsvis uenig,tend_disapprove
q_approval_eu,Förkastar till viss del,tend_disapprove
