renamed_var,renamed_col,original_col,wave,question_wording,wording_source
cj_rand_issue_order,cj_rand_issue_order,Q6_1,1,Q6 - Click to write Form field 1,United Kingdom
cj_rand_party_a,cj_rand_party_a,Q6_2,1,Q6 - Click to write Form field 2,United Kingdom
cj_rand_party_b,cj_rand_party_b,Q6_3,1,Q6 - Click to write Form field 3,United Kingdom
cj_rand_party_c,cj_rand_party_c,Q6_4,1,Q6 - Click to write Form field 4,United Kingdom
cj_rand_party_d,cj_rand_party_d,Q6_5,1,Q6 - Click to write Form field 5,United Kingdom
cj_rand_party_e,cj_rand_party_e,Q6_6,1,Q6 - Click to write Form field 6,United Kingdom
cj_rand_party_f,cj_rand_party_f,Q6_7,1,Q6 - Click to write Form field 7,United Kingdom
cj_task1_choice,cj_task1_choice_raw,Q46,1,"Which party would you support? Even if you are not entirely sure, please indicate which of the two you would be most inclined to support.",United Kingdom
cj_task1_eval_a,cj_task1_eval_a_raw,Q47_1,1,How do you evaluate the political parties A and B overall? - Party A,United Kingdom
cj_task1_eval_b,cj_task1_eval_b_raw,Q47_2,1,How do you evaluate the political parties A and B overall? - Party B,United Kingdom
cj_task2_choice,cj_task2_choice_raw,Q51,1,"Which party would you support? Even if you are not entirely sure, please indicate which of the two you would be most inclined to support.",United Kingdom
cj_task2_eval_c,cj_task2_eval_c_raw,Q52_1,1,How do you evaluate the political parties C and D overall? - Party C,United Kingdom
cj_task2_eval_d,cj_task2_eval_d_raw,Q52_2,1,How do you evaluate the political parties C and D overall? - Party D,United Kingdom
cj_task3_choice,cj_task3_choice_raw,Q56,1,"Which party would you support? Even if you are not entirely sure, please indicate which of the two you would be most inclined to support.",United Kingdom
cj_task3_eval_e,cj_task3_eval_e_raw,Q57_1,1,How do you evaluate the political parties E and F overall? - Party E,United Kingdom
cj_task3_eval_f,cj_task3_eval_f_raw,Q57_2,1,How do you evaluate the political parties E and F overall? - Party F,United Kingdom
meta_country,meta_country_raw,Country,2,Country,United Kingdom
meta_country,meta_country_raw,Country,3,Country,United Kingdom
meta_device,meta_device,Device,2,Device,United Kingdom
meta_device,meta_device,Device,3,Device,United Kingdom
meta_distchannel,meta_distchannel,DistributionChannel,2,Distribution Channel,United Kingdom
meta_distchannel,meta_distchannel,DistributionChannel,3,Distribution Channel,United Kingdom
meta_duration_s,meta_duration_s,Duration..in.seconds.,2,Duration (in seconds),United Kingdom
meta_duration_s,meta_duration_s,Duration..in.seconds.,3,Duration (in seconds),United Kingdom
meta_enddate,meta_enddate,EndDate,2,End Date,United Kingdom
meta_enddate,meta_enddate,EndDate,3,End Date,United Kingdom
meta_external_ref,meta_external_ref,ExternalReference,2,External Data Reference,United Kingdom
meta_external_ref,meta_external_ref,ExternalReference,3,External Data Reference,United Kingdom
meta_finished,meta_finished,Finished,2,Finished,United Kingdom
meta_finished,meta_finished,Finished,3,Finished,United Kingdom
meta_ipaddress,meta_ipaddress,IPAddress,2,IP Address,United Kingdom
meta_ipaddress,meta_ipaddress,IPAddress,3,IP Address,United Kingdom
meta_lang,meta_lang,UserLanguage,2,User Language,United Kingdom
meta_lang,meta_lang,UserLanguage,3,User Language,United Kingdom
meta_latitude,meta_latitude,LocationLatitude,2,Location Latitude,United Kingdom
meta_latitude,meta_latitude,LocationLatitude,3,Location Latitude,United Kingdom
meta_longitude,meta_longitude,LocationLongitude,2,Location Longitude,United Kingdom
meta_longitude,meta_longitude,LocationLongitude,3,Location Longitude,United Kingdom
meta_pid,meta_pid,PID,2,PID,United Kingdom
meta_pid,meta_pid,PID,3,PID,United Kingdom
meta_progress,meta_progress,Progress,2,Progress,United Kingdom
meta_progress,meta_progress,Progress,3,Progress,United Kingdom
meta_psid,meta_psid,PSID,2,PSID,United Kingdom
meta_psid,meta_psid,PSID,3,PSID,United Kingdom
meta_recipient_email,meta_recipient_email,RecipientEmail,2,Recipient Email,United Kingdom
meta_recipient_email,meta_recipient_email,RecipientEmail,3,Recipient Email,United Kingdom
meta_recipient_firstname,meta_recipient_firstname,RecipientFirstName,2,Recipient First Name,United Kingdom
meta_recipient_firstname,meta_recipient_firstname,RecipientFirstName,3,Recipient First Name,United Kingdom
meta_recipient_lastname,meta_recipient_lastname,RecipientLastName,2,Recipient Last Name,United Kingdom
meta_recipient_lastname,meta_recipient_lastname,RecipientLastName,3,Recipient Last Name,United Kingdom
meta_recordeddate,meta_recordeddate,RecordedDate,2,Recorded Date,United Kingdom
meta_recordeddate,meta_recordeddate,RecordedDate,3,Recorded Date,United Kingdom
meta_responseid,meta_responseid,ResponseId,2,Response ID,United Kingdom
meta_responseid,meta_responseid,ResponseId,3,Response ID,United Kingdom
meta_startdate,meta_startdate,StartDate,2,Start Date,United Kingdom
meta_startdate,meta_startdate,StartDate,3,Start Date,United Kingdom
meta_status,meta_status,Status,2,Response Type,United Kingdom
meta_status,meta_status,Status,3,Response Type,United Kingdom
prime_cjeu_clickcount,prime_cjeu_clickcount,Q213_Click.Count,2,Timing - Click Count,United Kingdom
prime_cjeu_clickcount,prime_cjeu_clickcount,Q201_Click.Count,3,Timing - Click Count,United Kingdom
prime_cjeu_condition,prime_cjeu_condition,prime_cjeu_condition,2,NA,NA
prime_cjeu_condition,prime_cjeu_condition,prime_cjeu_condition,3,NA,NA
prime_cjeu_firstclick,prime_cjeu_firstclick,Q213_First.Click,2,Timing - First Click,United Kingdom
prime_cjeu_firstclick,prime_cjeu_firstclick,Q201_First.Click,3,Timing - First Click,United Kingdom
prime_cjeu_fra_clickcount,prime_cjeu_fra_clickcount,Q201_Click.Count,2,Timing - Cliquer sur le décompte,France
prime_cjeu_fra_condition,prime_cjeu_fra_condition,prime_cjeu_fra_condition,2,NA,NA
prime_cjeu_fra_firstclick,prime_cjeu_fra_firstclick,Q201_First.Click,2,Timing - Premier clic,France
prime_cjeu_fra_lastclick,prime_cjeu_fra_lastclick,Q201_Last.Click,2,Timing - Dernier clic,France
prime_cjeu_fra_pagesubmit,prime_cjeu_fra_pagesubmit,Q201_Page.Submit,2,Timing - Envoi de page,France
prime_cjeu_fra_text,prime_cjeu_fra_text,prime_cjeu_fra_text,2,NA,NA
prime_cjeu_lastclick,prime_cjeu_lastclick,Q213_Last.Click,2,Timing - Last Click,United Kingdom
prime_cjeu_lastclick,prime_cjeu_lastclick,Q201_Last.Click,3,Timing - Last Click,United Kingdom
prime_cjeu_pagesubmit,prime_cjeu_pagesubmit,Q213_Page.Submit,2,Timing - Page Submit,United Kingdom
prime_cjeu_pagesubmit,prime_cjeu_pagesubmit,Q201_Page.Submit,3,Timing - Page Submit,United Kingdom
prime_cjeu_text,prime_cjeu_text,prime_cjeu_text,2,NA,NA
prime_cjeu_text,prime_cjeu_text,prime_cjeu_text,3,NA,NA
prime_moreeu_clickcount,prime_moreeu_clickcount,Q9_Click.Count,2,Timing - Click Count,United Kingdom
prime_moreeu_condition,prime_moreeu_condition,prime_moreeu_condition,2,NA,NA
prime_moreeu_firstclick,prime_moreeu_firstclick,Q9_First.Click,2,Timing - First Click,United Kingdom
prime_moreeu_lastclick,prime_moreeu_lastclick,Q9_Last.Click,2,Timing - Last Click,United Kingdom
prime_moreeu_pagesubmit,prime_moreeu_pagesubmit,Q9_Page.Submit,2,Timing - Page Submit,United Kingdom
prime_moreeu_text,prime_moreeu_text,prime_moreeu_text,2,NA,NA
q_age,q_age_raw,Q3_1,1,How old are you?,United Kingdom
q_age,q_age_raw,Q3_1,2,How old are you?,United Kingdom
q_age,q_age_raw,Q3_1,3,How old are you?,United Kingdom
q_approval_eu,q_approval_eu_raw,Q97,1,"Do you approve, disapprove, or neither approve nor disapprove of the way the EU handles this situation?",United Kingdom
q_approval_natgov,q_approval_natgov_raw,Q93,1,"Do you approve, disapprove, or neither approve nor disapprove of the way the UK government handles this situation?",United Kingdom
q_attn_check,q_attn_check_raw,Q58,1,"We appreciate your participation in this survey. We value your time and effort. However, we have to make sure that our data are valid and accurate. Specifically, we are interested in whether you actually take the time to read instructions closely; if not, our data based on your responses will be invalid. In order to demonstrate that you have read instructions, please ignore the next question, and simply write ""I read the instructions"" in the box labeled ""Others"". Thank you very much.
Where would you place YOURSELF on this scale? - Selected Choice",United Kingdom
q_attn_check,q_attn_check_raw,Q8,3,"We appreciate your participation in this survey. We value your time and effort. However, we have to make sure that our data are valid and accurate. Specifically, we are interested in whether you actually take the time to read instructions closely; if not, our data based on your responses will be invalid. In order to demonstrate that you have read instructions, please ignore the next question, and simply write ""I read the instructions"" in the box labeled ""Others"". Thank you very much.
Where would you place YOURSELF on this scale? - Selected Choice",United Kingdom
q_attn_check_text,q_attn_check_text,Q58_TEXT,1,NA,NA
q_attn_check_text,q_attn_check_text_raw,Q8_TEXT,3,NA,NA
q_campaign_activity,q_campaign_activity_raw,Q200,3,"We find that many people participate in politics in other ways besides voting. They support a candidate, political party, or political issue in various ways. 
Please tell us if you have done the following during the election campaign. Please indicate all that apply. - Selected Choice",United Kingdom
q_campaign_activity_fra,q_campaign_activity_fra_raw,Q200,2,"Nous avons constaté que beaucoup participent à la politique autrement qu'en votant. Ils soutiennent un candidat, un parti politique ou un enjeu politique de diverses façons. 
 Veuillez nous dire si vous avez fait ce qui suit pendant la campagne électorale. Veuillez sélectionner toutes les réponses qui s'appliquent - Selected Choice",France
q_campaign_activity_other,q_campaign_activity_other_raw,Q200_TEXT,3,NA,NA
q_campaign_activity_other_fra,q_campaign_activity_other_fra_raw,Q200_TEXT,2,NA,NA
q_cjeu_abolish,q_cjeu_abolish_raw,Q133_1,1,"Please tell me to what extent you agree or disagree with each of the following statements. - If the Court of Justice of the European Union (CJEU) started making a lot of decisions that most people disagreed with, it might be better to do away with the CJEU altogether",United Kingdom
q_cjeu_abolish,q_cjeu_abolish_raw,Q215_1,2,"Please tell me to what extent you agree or disagree with each of the following statements. - If the Court of Justice of the European Union (CJEU) started making a lot of decisions that most people disagreed with, it might be better to do away with the CJEU altogether",United Kingdom
q_cjeu_abolish,q_cjeu_abolish_raw,Q203_1,3,"Please tell me to what extent you agree or disagree with each of the following statements. - If the Court of Justice of the European Union (CJEU) started making a lot of decisions that most people disagreed with, it might be better to do away with the CJEU altogether",United Kingdom
q_cjeu_abolish_fra,q_cjeu_abolish_fra_raw,Q203_1,2,"Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Si la Cour de justice de l'Union européenne (CJUE) commençait à prendre de nombreuses décisions rejetées par la plupart des gens, il serait peut-être préférable de supprimer complètement la CJUE",France
q_cjeu_pos,q_cjeu_pos_raw,Q214,2,"In thinking about the Court of Justice of the European Union's (CJEU) decisions more generally, some people argue that it tends to favor actions taken by the European Commission at the expense of parties or groups that are opposed to the European Commission. Others contend that the CJEU tends to protect parties or groups that are opposed to the European Commission even if it means striking down actions taken by the European Commission. 
Which comes closest to your view?",United Kingdom
q_cjeu_pos,q_cjeu_pos_raw,Q208,3,"In thinking about the Court of Justice of the European Union's (CJEU) decisions more generally, some people argue that it tends to favor actions taken by the European Commission at the expense of parties or groups that are opposed to the European Commission. Others contend that the CJEU tends to protect parties or groups that are opposed to the European Commission even if it means striking down actions taken by the European Commission. 
Which comes closest to your view?",United Kingdom
q_cjeu_pos_fra,q_cjeu_pos_fra_raw,Q208,2,"En ce qui concerne les décisions de la Cour de justice de l’Union européenne (CJUE) de manière plus générale, certaines personnes font valoir qu'elles ont tendance à favoriser les mesures prises par la Commission européenne aux dépens des partis ou des groupes opposés à la Commission européenne lorsqu'elle statue. D'autres personnes soutiennent que la CJUE a tendance à protéger les partis ou les groupes opposés à la Commission européenne, même si cela implique l'invalidation des mesures prises par la Commission européenne. 
 Qu'est-ce qui se rapproche le plus de votre point de vue?",France
q_cjeu_satisfaction,q_cjeu_satisfaction_raw,Q133_2,1,Please tell me to what extent you agree or disagree with each of the following statements. - I am satisfied with the performance of the Court of Justice of the EU (CJEU),United Kingdom
q_cjeu_satisfaction,q_cjeu_satisfaction_raw,Q215_2,2,Please tell me to what extent you agree or disagree with each of the following statements. - I am satisfied with the performance of the Court of Justice of the EU (CJEU),United Kingdom
q_cjeu_satisfaction,q_cjeu_satisfaction_raw,Q203_2,3,Please tell me to what extent you agree or disagree with each of the following statements. - I am satisfied with the performance of the Court of Justice of the EU (CJEU),United Kingdom
q_cjeu_satisfaction_fra,q_cjeu_satisfaction_fra_raw,Q203_2,2,Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Je suis satisfait(e) des performances de la Cour de justice de l'Union européenne (CJUE),France
q_class,q_class_raw,Q7,2,Do you see yourself and your household belonging to...?,United Kingdom
q_class,q_class_raw,Q7,3,Do you see yourself and your household belonging to...?,United Kingdom
q_compliance_verif,q_compliance_verif_raw,Q130,1,"In the scenario you just read about, you read about the EU and its decisions. Please indicate all the correct option(s).",United Kingdom
q_court_pos,q_court_pos_raw,Q141,1,"In thinking about the Supreme Court's decisions more generally, some people argue that it tends to favor actions taken by the government at the expense of parties or groups that are opposed to the government when it rules. Others contend that the Court tends to protect parties or groups that are opposed to the government even if it means striking down actions taken by the government. 
Which comes closest to your view?",United Kingdom
q_dem_compromise,q_dem_compromise_raw,Q23_1,2,Please indicate how much you agree with each of the following statements. - In a democracy it is important to make compromises among differing viewpoints.,United Kingdom
q_dem_compromise,q_dem_compromise_raw,Q37_1,3,Please indicate how much you agree with each of the following statements. - In a democracy it is important to make compromises among differing viewpoints.,United Kingdom
q_dem_compromise_fra,q_dem_compromise_fra_raw,Q37_1,2,"Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Dans une démocratie, il est important de faire des compromis entre les différents points de vue.",France
q_dem_listen,q_dem_listen_raw,Q23_2,2,Please indicate how much you agree with each of the following statements. - It is important to listen to the opinion of other groups.,United Kingdom
q_dem_listen,q_dem_listen_raw,Q37_2,3,Please indicate how much you agree with each of the following statements. - It is important to listen to the opinion of other groups.,United Kingdom
q_dem_listen_fra,q_dem_listen_fra_raw,Q37_2,2,Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Il est important d'écouter l'opinion des autres groupes.,France
q_econ_eval_retro,q_econ_eval_retro_raw,Q163,1,"What do you think about the economy? Compared to 12 months ago, do you think that the general economic situation in the United Kingdom...?",United Kingdom
q_econ_resp_eu,q_econ_resp_eu_raw,Q164_2,1,"Now I would like to ask you some questions about how much responsibility the different institutions have in the current economic situation in the United Kingdom. 
Please use a scale from 1 to 7, where '1' means that you think they have ""no responsibility"" and '7' means that they have ""full responsibility"" - European Union (EU)",United Kingdom
q_econ_resp_global,q_econ_resp_global_raw,Q164_4,1,"Now I would like to ask you some questions about how much responsibility the different institutions have in the current economic situation in the United Kingdom. 
Please use a scale from 1 to 7, where '1' means that you think they have ""no responsibility"" and '7' means that they have ""full responsibility"" - Global economy",United Kingdom
q_econ_resp_imm,q_econ_resp_imm_raw,Q164_3,1,"Now I would like to ask you some questions about how much responsibility the different institutions have in the current economic situation in the United Kingdom. 
Please use a scale from 1 to 7, where '1' means that you think they have ""no responsibility"" and '7' means that they have ""full responsibility"" - Asylum seekers and immigrants",United Kingdom
q_econ_resp_natgov,q_econ_resp_natgov_raw,Q164_1,1,"Now I would like to ask you some questions about how much responsibility the different institutions have in the current economic situation in the United Kingdom. 
Please use a scale from 1 to 7, where '1' means that you think they have ""no responsibility"" and '7' means that they have ""full responsibility"" - UK government",United Kingdom
q_edu_age_stop,q_edu_age_stop_raw,Q172_1,1,How old were you when you stopped full-time education?,United Kingdom
q_edu_age_stop,q_edu_age_stop_raw,Q243_1,2,How old were you when you stopped full-time education?,United Kingdom
q_edu_age_stop,q_edu_age_stop_raw,Q243_1,3,How old were you when you stopped full-time education?,United Kingdom
q_eff_external_nosay,q_eff_external_nosay_raw,Q157_3,1,Please tell me to what extent you agree or disagree with each of the following statements. - People like me don't have any say about what the UK government does,United Kingdom
q_eff_external_nosay_c,q_eff_external_nosay_c_raw,Q239_3,2,Please tell me to what extent you agree or disagree with each of the following statements. - People like me don't have any say about what the UK government does,United Kingdom
q_eff_external_resp,q_eff_external_resp_raw,Q157_2,1,Please tell me to what extent you agree or disagree with each of the following statements. - The politicians in the UK care about what people like me think,United Kingdom
q_eff_internal,q_eff_internal_raw,Q157_1,1,Please tell me to what extent you agree or disagree with each of the following statements. - I can understand and evaluate important political issues about the UK,United Kingdom
